Genotype,L1W,L2W,L3W,L4W,L5W,L6W,L7W
R171-R055,5.0,6.7,8.3,9.1,9.8,9.5,9.3
R174-R011,4.5,6.5,7.7,8.9,9.2,8.6,8.5
R174-R085,4.7,6.5,8.3,8.8,9.5,9.1,8.7
R175-R009,4.4,6.0,7.6,7.9,8.4,8.3,8.1
R175-R012,4.3,5.9,7.2,8.3,8.7,8.2,7.9
R175-R034,4.2,5.6,6.8,8.0,8.4,8.3,8.1
R176-R008,4.9,6.5,7.7,8.9,9.3,9.3,9.0
R176-R013,4.8,6.7,8.3,9.1,9.8,9.5,9.3
R176-R087,4.7,6.6,8.5,9.1,9.4,9.3,8.5
R177-R088,4.0,5.6,7.0,8.4,8.6,8.6,8.1
R179-R005,4.5,6.5,8.0,9.4,9.8,9.6,9.2
R179-R016,4.7,6.6,8.5,9.1,9.4,9.3,8.5
R179-R039,4.2,5.6,6.8,8.0,8.4,8.3,8.1
R182-R041,4.8,6.2,7.4,7.9,8.2,8.3,7.5
R182-R068,4.7,6.2,7.5,8.7,9.1,9.2,8.2
R182-R093,4.6,6.4,7.5,8.7,9.1,9.2,8.2
